Water Company Name,"Site Name
(EA Consents Database)","Site Name
(WaSC operational)
[optional]","EA Permit Reference
(EA Consents Database)","WaSC Supplementary Permit Ref.
[optional]",Activity Reference on Permit,Storm Discharge Asset Type,"Outlet Discharge NGR
(EA Consents Database)","WFD Waterbody ID (Cycle 2)
(discharge outlet)","WFD Waterbody Catchment Name (Cycle 2)
(discharge outlet)","Receiving Water / Environment (common name)
(EA Consents Database)",Shellfish Water (only populate for storm overflow with a Shellfish Water EDM requirement),Bathing Water (only populate for storm overflow with a Bathing Water EDM requirement),"Treatment Method
(over & above Storm Tank settlement / screening)",Initial EDM Commission Date,Total Duration (hrs) all spills prior to processing through 12-24h count method,Counted spills using 12-24h count method,Long-term average spill count,"No. full years EDM data
(years)","EDM Operation -
% of reporting period EDM operational","EDM Operation -
Reporting % -
Primary Reason <90%","EDM Operation -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Operational Review -
Primary Reason","High Spill Frequency -
Action taken / planned -
Status & timeframe","High Spill Frequency -
Environmental Enhancement -
Planning Position (Hydraulic capacity)",,Grid reference,Latitude,Longitude
Northumbrian Water,AYCLIFFE STW WORKS,6NW800770(2),253/1278,253/1278,A2,Storm tank at WwTW,NZ2825323488,GB103025072596,Skerne from Demons Beck to Tees,DEMONS BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,100.53,11,21.7,3 (installed 2019),100%,,,,,,,NZ2825323488,54.605776,-1.564135
Northumbrian Water,B1285 STORAGE TANK,6NW800405,255/1181,255/1181,,SO on sewer network,NZ4026047030,GB103025075970,Dalton Beck to North Sea,DALTON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,15.75,7,1.8,10 (installed pre-2013),99.99%,,,,,,,NZ4026047030,54.816514,-1.375023
Northumbrian Water,BACK ELM STREET CSO,6NW801137,244/E/0216,244/E/0216,,SO on sewer network,NZ2138344981,GB103024077551,Browney from Smallhope Burn Deerness confl,RIVER BROWNEY,,,Not Applicable,Commissioned pre-2016 - full year data expected,6.25,7,6.0,10 (installed pre-2013),83.05%,Installation set-up/design issue,Resolved - Mar,,,,,NZ2138344981,54.799257,-1.668918
Northumbrian Water,BACK LANE COMBINED SEWER OVERFLOW,6NW801339,245/1396,245/1396,,SO on sewer network,NZ2917050060,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,BROUGH'S GILL,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.3,10 (installed pre-2013),99.99%,,,,,,,NZ2917050060,54.844507,-1.547287
Northumbrian Water,BACK LODGE TERRACE CSO,6NW800408,255/1207,255/1207,,SO on sewer network,NZ4108256147,GB650301500002,Tyne and Wear,NORTH SEA,,,Not Applicable,Commissioned pre-2016 - full year data expected,23.25,12,29.7,7 (installed 2015),37.31%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ4108256147,54.898371,-1.360939
Northumbrian Water,RED BARNSN BAMBURGH SEWAGE PUMPING STATION ,6NW800463,221/1069,221/1069,221/1069-01,Storm discharge at pumping station,NU1973035020,GB650301440000,Northumberland North,NORTH SEA,,Bamburgh Castle,Not Applicable,Commissioned in 2018 - full year data expected,0.11,2,9.2,5 (installed 2017),100%,,,,,,,NU1973035020,55.60839,-1.68838
Northumbrian Water,BANK TOP CSO,6NW801292,226/1181,226/1181,,SO on sewer network,NZ2778382259,5,River Blyth,RIVER BLYTH,,,Not Applicable,Commissioned pre-2016 - full year data expected,52.25,36,42.4,9 (installed 2013),96.40%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2778382259,55.133923,-1.565775
Northumbrian Water,BARCLAYS A CSO ELVET,6NW801271,245/0447,245/0447,,SO on sewer network,NZ2760642176,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,1.7,10 (installed pre-2013),99.97%,,,,,,,NZ2760642176,54.773748,-1.57239
Northumbrian Water,BARDON MILL (STATION HOUSE) P.S.,6NW800490,232/0989,232/0989,232/0989-01,Storm discharge at pumping station,NY7791064540,GB103023075540,Brackies Burn to catchment (trib of South Tyne),CHAINLEY BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,30.32,35,28.7,3 (installed 2019),99.97%,,,,,,,NY7791064540,54.974977,-2.346634
Northumbrian Water,BARKERS HAUGH CSO NO. 10 Orchard Drive,6NW800339,EPRJB3293AU,EPRJB3293AU,,SO on sewer network,NZ2804143132,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned in 2016 - full year data expected,51.00,31,30.0,6 (installed 2016),99.25%,,,,,,,NZ2804143132,54.782315,-1.565536
Northumbrian Water,BARKERS HAUGH NO 5 CSO Prebends Bridge,6NW801265,EPRNB3092AL,EPRNB3092AL,,SO on sewer network,NZ2718241860,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,1.25,4,8.3,10 (installed pre-2013),99.99%,,,,,,,NZ2718241860,54.770932,-1.57901
Northumbrian Water,BARKERS HAUGH NO 8 CSO Freemans Place,6NW801268,EPRQB3897RB,EPRQB3897RB,,SO on sewer network,NZ2749143026,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,164.25,57,73.1,10 (installed pre-2013),99.97%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2749143026,54.781393,-1.574097
Northumbrian Water,BARKERS HAUGH STW,6NW800767,245/1245,245/1245,,Storm tank at WwTW,NZ2807743394,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,425.18,48,58.5,2 (installed 2020),99.62%,,,N/A - Ongoing investigation,Scheduled,,,NZ2807743394,54.784668,-1.564951
Northumbrian Water,BARLEY MOW PARK CSO,6NW000012,EPRCB3191AV,EPRCB3191AV,,SO on sewer network,NZ4001955825,GB103024077640,Hendon Coastal Area,HENDON BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.00,0,0.5,10 (installed pre-2013),0.003%,Comms failure / issue,N/A - Ongoing investigation,,,,,NZ4001955825,54.895564,-1.377558
Northumbrian Water,BARNARD CASTLE STW CSO INLET,6NW800146,25/02/1111,25/02/1111,25/02/1111-03,Inlet SO at WwTW,NZ0582315450,GB103025072512,Tees from Percy Beck to River Greta,River Tees,,,Not Applicable,Commissioned in 2020 - full year data expected,,,0.0,2 (installed 2020),0%,Installation set-up/design issue,N/A - Ongoing investigation,,,,,NZ0582315450,54.534291,-1.911525
Northumbrian Water,BARNARD CASTLE STW CSO INLET Demesne Mill CSO (East),6NW800928,252/A/0559,252/A/0559,,SO on sewer network,NZ0523215935,GB103025072512,Tees from Percy Beck to River Greta,RIVER TEES,,,Not Applicable,Commissioned pre-2016 - full year data expected,24.50,23,30.7,10 (installed pre-2013),69.25%,Comms failure / issue,Resolved - Mar,,,,,NZ0523215935,54.538656,-1.92065
Northumbrian Water,BARNARD CASTLE STW Storm Tank,6NW800715,25/02/1111,25/02/1111,25/02/1111-02,Storm tank at WwTW,NZ0582315450,GB103025072512,Tees from Percy Beck to River Greta, River Tees,,,Not Applicable,Commissioned in 2020 - full year data expected,166.88,38,21.0,2 (installed 2020),99.57%,,,,,,,NZ0582315450,54.534291,-1.911525
Northumbrian Water,BARNINGHAM STW,6NW800147,252/0364,252/0364,A2,Inlet SO at WwTW,NZ0860010700,GB103025072150,Aldbrough Beck from Source to Clow Beck,NOR BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,0.00,0,8.5,2 (installed 2020),25.36%,Comms failure / issue,Resolved - Sep,,,,,NZ0860010700,54.491565,-1.868747
Northumbrian Water,BARTON SEWAGE TREATMENT WORKS CSO INLET,6NW800160,25/02/1080,25/02/1080,25/02/1080-03,Inlet SO at WwTW,NZ2313009050,GB103025072040,Barton Beck from Source to Clow Beck,BARTON BECK,,,Not Applicable,Commissioned in 2021 - full year data expected,8.96,6,6.0,1 (installed 2021),100%,,,,,,,NZ2313009050,54.476286,-1.64457
Northumbrian Water,BARTON SEWAGE TREATMENT WORKS Storm Tank,6NW800752,25/02/1080,25/02/1080,25/02/1080-02,Storm tank at WwTW,NZ2313009050,GB103025072040,Barton Beck from Source to Clow Beck,BARTON BECK,,,Not Applicable,Commissioned in 2020 - full year data expected,,,25.3,3 (installed 2019),0%,Installation set-up/design issue,Resolved - January after reporting year,,,,,NZ2313009050,54.476286,-1.64457
Northumbrian Water,BARWICK STREET CSO,6NW801507,255/1126,255/1126,,SO on sewer network,NZ4001646498,GB103025075970,Dalton Beck to North Sea,MURTON DENE,,,Not Applicable,Commissioned pre-2016 - full year data expected,4.50,13,14.7,10 (installed pre-2013),99.90%,,,,,,,NZ4001646498,54.811753,-1.378893
Northumbrian Water,BATES COLLIERY SPS,6NW800574,226/1178,226/1178,226/1178-02,Storm discharge at pumping station,NZ3051082520,GB510302203200,BLYTH (N),RIVER BLYTH (SALINE ESTUARY),,,Not Applicable,Commissioned in 2020 - full year data expected,235.72,32,41.7,3 (installed 2019),99.95%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ3051082520,55.136109,-1.522977
Northumbrian Water,BEACON AVENUE SPS,6NW800598,253/0237,253/0237,A1,Storm discharge at pumping station,NZ3629429041,GB103025076070,Skerne from Source to Carrs,REDCAR BECK,,,Not Applicable,Commissioned pre-2016 - full year data expected,5.75,1,1.4,10 (installed pre-2013),99.87%,,,,,,,NZ3629429041,54.655165,-1.438973
Northumbrian Water,BEADNELL CAR PARK SEWAGE PUMPING SN,6NW800473,221/1071,221/1071,221/1071-01,Storm discharge at pumping station,NU2390028570,GB620301100000,Farne Islands to Newton Haven,NORTH SEA,,Beadnell,Not Applicable,Commissioned in 2019 - full year data expected,15.33,10,37.0,4 (installed 2018),24.17%,Comms failure / issue,Resolved - February after reporting year,,,,,NU2390028570,55.55025,-1.622745
Northumbrian Water,BEADNELL HARBOUR SEWAGE PUMPING STN,6NW800474,221/1072,221/1072,221/1072-01,Storm discharge at pumping station,NU2390028570,GB620301100000,Farne Islands to Newton Haven,NORTH SEA,,Beadnell,Not Applicable,Commissioned in 2018 - full year data expected,25.20,14,23.6,5 (installed 2017),100%,,,,,,,NU2390028570,55.55025,-1.622745
Northumbrian Water,BEADNELL(SWINHOE ROAD) SEWAGE PUMPN,6NW800468,221/1070,221/1070,221/1070-01,Storm discharge at pumping station,NU2265028980,249,Unnamed drain to Beadnell Harbour,UNNAMED COASTAL STREAM,,Beadnell,Not Applicable,Commissioned in 2018 - full year data expected,0.00,0,2.6,5 (installed 2017),100%,,,,,,,NU2265028980,55.553994,-1.642524
Northumbrian Water,BEAMISH CSO,6NW800292,EPRBB3395WB,EPRBB3395WB,,SO on sewer network,NZ2255253648,GB103023075670,Team from Source to Tyne,TRIBUTARY OF URPETH BURN,,,Not Applicable,Commissioned in 2018 - full year data expected,0.00,0,0.0,4 (installed 2018),99.99%,,,,,,,NZ2255253648,54.87709,-1.650062
Northumbrian Water,BEAR PARK (ALDIN GRANGE) STW,6NW800757,244/0991,244/0991,244/0991-03,Storm tank at WwTW,NZ2490043190,GB103024077551,Browney from Smallhope Burn Deerness confl,BROWNEY,,,Not Applicable,Commissioned in 2020 - full year data expected,138.94,43,69.3,3 (installed 2019),100%,,,N/A - Ongoing investigation,Scheduled,,,NZ2490043190,54.783001,-1.614367
Northumbrian Water,BEAUMONT HILL SSO,6NW801334,25/03/1248,25/03/1248,,SO on sewer network,NZ2936018180,GB103025072596,Skerne from Demons Beck to Tees,UNNAMED TRIB OF SKERNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,32.25,10,8.9,10 (installed pre-2013),83.73%,Comms failure / issue,Resolved - Feb,,,,,NZ2936018180,54.558012,-1.547527
Northumbrian Water,BEDFORD STREET CSO NTY057,6NW801480,235/1910,235/1910,,SO on sewer network,NZ3575468102,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,14.00,17,18.3,8 (installed 2014),99.78%,,,,,,,NZ3575468102,55.006205,-1.442529
Northumbrian Water,BEDSIDE CSO,6NW801319,226/1206,226/1206,,SO on sewer network,NZ2818082260,GB510302203200,BLYTH (N),BLYTH,,,Not Applicable,Commissioned pre-2016 - full year data expected,68.75,33,32.0,10 (installed pre-2013),99.63%,,,,,,,NZ2818082260,55.13391,-1.559548
Northumbrian Water,BEECH HILL CSO,6NW800892,233/D/0390,233/D/0390,,SO on sewer network,NY9258164111,GB103023075801,Tyne from Watersmeet to Tidal Limit,COCKSHAW BURN CULVERTED,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.23,4,3.6,10 (installed pre-2013),100%,,,,,,,NY9258164111,54.97156,-2.117425
Northumbrian Water,BEECH STREET CSO,6NW801117,234/1058,234/1058,,SO on sewer network,NZ2094658966,GB103023075670,Team from Source to Tyne,BLACK BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,0.25,1,3.0,10 (installed pre-2013),99.77%,,,,,,,NZ2094658966,54.924948,-1.674706
Northumbrian Water,BEECHVILLE CSO,6NW800291,245/1083,245/1083,,SO on sewer network,NZ2281349486,GB103024077560,Cong Burn from Source to Twizell Burn,CONG BURN,,,Not Applicable,Commissioned in 2017 - full year data expected,128.83,41,50.0,5 (installed 2017),95.90%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,U_IMP4 driver - Stage 4: Potential spill reduction scheme - Not yet on current WINEP/AMP or Green Recovery,,NZ2281349486,54.839678,-1.646322
Northumbrian Water,BEEHIVE CSO,6NW800367,226/1271,226/1271,,SO on sewer network,NZ3286273332,GB103022076180,Brierdene Burn from Source to North Sea,BRIERDENE BURN,,,Not Applicable,Commissioned in 2017 - full year data expected,53.75,31,35.4,5 (installed 2017),99.04%,,,,,,,NZ3286273332,55.053399,-1.487144
Northumbrian Water,BELFORD INDUTRIAL ESTATE PS.,6NW800460,221/0934,221/0934,221/0934-02,Storm discharge at pumping station,NU1260033560,GB103022076430,Newlands Burn Catchment (trib of Waren Burn),NEWLANDS BURN,,,Not Applicable,Commissioned in 2019 - full year data expected,0.00,0,0.5,4 (installed 2018),99.79%,,,,,,,NU1260033560,55.595507,-1.801622
Northumbrian Water,BELFORD SEWAGE TREATMENT WORKS CSO INLET,6NW800115,221/1034,221/1034,221/1034-03,Inlet SO at WwTW,NU1171033885,GB103022076460,Belford Burn from Source to Ross Low,BELFORD BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,527.86,84,94.3,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NU1171033885,55.598449,-1.815731
Northumbrian Water,BELFORD SEWAGE TREATMENT WORKS CSO Storm Tank,6NW800692,221/1034,221/1034,221/1034-02,Storm tank at WwTW,NU1171033885,GB103022076460,Belford Burn from Source to Ross Low,BELFORD BURN,,,Not Applicable,Commissioned in 2020 - full year data expected,380.17,28,64.7,3 (installed 2019),90.48%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NU1171033885,55.598449,-1.815731
Northumbrian Water,BELL BURN WOOD CSO WV042,6NW800287,243/E/0097,243/E/0097,,SO on sewer network,NZ2252131682,GB103024077464,Wear from Gaunless to Browney,BELL BURN,,,Not Applicable,Commissioned in 2016 - full year data expected,5.25,9,6.7,6 (installed 2016),74.79%,Comms failure / issue,Resolved - Sep,,,,,NZ2252131682,54.679698,-1.652242
Northumbrian Water,BELLINGHAM STW,6NW800701,231/1086,231/1086,A2,Storm tank at WwTW,NY8372282933,GB103023074960,N Tyne from Tarset Burn to River Rede,NORTH TYNE,,,Not Applicable,Commissioned in 2020 - full year data expected,2515.30,133,148.0,3 (installed 2019),99.72%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NY8372282933,55.140481,-2.256894
Northumbrian Water,BELLINGHAM STW,6NW801630,231/1086,231/1086,A3,Inlet SO at WwTW,NY8372282933,GB103023074960,N Tyne from Tarset Burn to River Rede,RIVER NORTH TYNE,,,Not Applicable,Commissioned pre-2016 - full year data expected,90.75,39,38.7,10 (installed pre-2013),98.65%,,,,,,,NY8372282933,55.140481,-2.256894
Northumbrian Water,BELMONT STW,6NW800776,245/1246,245/1246,245/1246-03,Storm tank at WwTW,NZ3041045290,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,UNNAMED TRIB. OF RIVER WEAR,,,Not Applicable,Commissioned in 2020 - full year data expected,6.57,2,16.5,2 (installed 2020),100%,,,,,,,NZ3041045290,54.80157,-1.528478
Northumbrian Water,BENNETTS WALK CSO,6NW800274,EPRDP3923XT,EPRDP3923XT,,Storm discharge at pumping station,NZ2023085839,GB103022077061,Wansbeck from Font to Bothal Burn,RIVER WANSBECK,,,Not Applicable,Commissioned in 2020 - full year data expected,3.35,7,10.3,3 (installed 2019),99.98%,,,,,,,NZ2023085839,55.166457,-1.683984
Northumbrian Water,BENSHAM CSO,6NW800918,235/1737,235/1737,,SO on sewer network,NZ2360162077,GB510302310200,TYNE,RIVER TEAM ESTUARINE WATERS,,,Not Applicable,Commissioned pre-2016 - full year data expected,55.75,25,13.8,10 (installed pre-2013),99.67%,,,,,,,NZ2360162077,54.952786,-1.633027
Northumbrian Water,BENSHAM HOSPITAL CSO,6NW801184,235/2009,235/2009,,SO on sewer network,NZ2433260965,GB103023075670,Team from Source to Tyne,"TEAM, RIVER",,,Not Applicable,Commissioned pre-2016 - full year data expected,3.63,14,6.6,10 (installed pre-2013),100%,,,,,,,NZ2433260965,54.942758,-1.621707
Northumbrian Water,BENSHAM SIDINGS CSO,6NW801182,235/1894,235/1894,,SO on sewer network,NZ2433260965,GB103023075670,Team from Source to Tyne,TEAM,,,Not Applicable,Commissioned pre-2016 - full year data expected,38.30,16,29.1,7 (installed 2015),11.73%,Installation set-up/design issue,Resolved - Nov,,,,,NZ2433260965,54.942758,-1.621707
Northumbrian Water,BENTON WAY OUTFALL NO 2 CSO,6NW801372,235/1626,235/1626,,SO on sewer network,NZ3013065600,GB510302310200,TYNE,TYNE ESTUARY,,,Not Applicable,Commissioned pre-2016 - full year data expected,2.50,6,10.8,10 (installed pre-2013),99.16%,,,,,,,NZ3013065600,54.984093,-1.530718
Northumbrian Water,BERRY EDGE ROAD CSO DER096,6NW800955,234/1137,234/1137,,SO on sewer network,NZ0907549831,GB103023074790,Derwent from Burnhope Burn to River Tyne,UNNAMED TRIB OF DENE BURN,,,Not Applicable,Commissioned pre-2016 - full year data expected,20.25,28,18.9,10 (installed pre-2013),99.46%,,,,,,,NZ0907549831,54.843212,-1.860214
Northumbrian Water,BERWICK NO 4 SEWAGE PUMPING STATION,6NW800845,210/1329,210/1329,210/1329-01,Storm discharge at pumping station,NU0039052660,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned pre-2016 - full year data expected,2.17,6,5.8,10 (installed pre-2013),88.65%,Sensor failure / issue,Resolved - Feb,,,,,NU0039052660,55.767283,-1.995352
Northumbrian Water,BERWICK P S NO 7 (MAGDALENE FIELDS),6NW800459,210/1351,210/1351,210/1351-01,Storm discharge at pumping station,NU0031054260,GB650301440000,Northumberland North,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,178.57,87,81.7,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NU0031054260,55.781659,-1.996626
Northumbrian Water,BERWICK STW,6NW800687,210/1273,210/1273,A2,Storm tank at WwTW,NT9800052450,GB510202110000,TWEED,RIVER TWEED (SALINE ESTUARY),,Spittal,Not Applicable,Commissioned in 2019 - full year data expected,49.89,40,28.3,4 (installed 2018),99.99%,,,,,,,NT9800052450,55.765392,-2.033442
Northumbrian Water,BEVAN HOUSE DENT STREET,6NW801400,226/1059,226/1059,,SO on sewer network,NZ3207980783,GB510302203200,BLYTH (N),BLYTH ESTUARY,,Blyth South Beach,Not Applicable,Commissioned pre-2016 - full year data expected,7.77,4,2.9,10 (installed pre-2013),91.53%,,,,,,,NZ3207980783,55.120402,-1.498563
Northumbrian Water,BEVERLEY GARDENS CSO,6NW801277,NPSWQD009328,NPSWQD009328,,SO on sewer network,NZ2780250303,GB103024077621,Wear from Croxdale Beck to Lumley Park Burn,RIVER WEAR,,,Not Applicable,Commissioned pre-2016 - full year data expected,17.00,17,12.0,10 (installed pre-2013),97.60%,,,,,,,NZ2780250303,54.846768,-1.568566
Northumbrian Water,BILLINGHAM STW CSO INLET,6NW800192,254/1965,254/1965,,Inlet SO at WwTW,NZ4846025840,GB510302509900,Tees,NORTH SEA,,,Not Applicable,Commissioned in 2021 - full year data expected,98.04,43,43.0,1 (installed 2021),100%,,,,,,,NZ4846025840,54.625381,-1.250949
Northumbrian Water,BILLINGHAM STW CSO INLET High level outfall 1 to Greatham Creek,6NW800190,254/1965,254/1965,254/1965-08,Inlet SO at WwTW,NZ4846025840,GB510302509900,Tees,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,139.76,43,46.7,3 (installed 2019),99.68%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ4846025840,54.625381,-1.250949
Northumbrian Water,BILLINGHAM STW CSO INLET High level outfall 2 to Cowbridge Beck,6NW800191,254/1965,254/1965,254/1965-08,Inlet SO at WwTW,NZ4846025840,GB510302509900,Tees,NORTH SEA,,,Not Applicable,Commissioned in 2021 - full year data expected,3.24,6,6.0,1 (installed 2021),100%,,,,,,,NZ4846025840,54.625381,-1.250949
Northumbrian Water,BILLINGHAM STW Storm Tank,6NW800797,254/1965,254/1965,254/1965-06,Storm tank at WwTW,NZ4846025840,GB510302509900,Tees,NORTH SEA,,,Not Applicable,Commissioned in 2020 - full year data expected,22.07,36,47.3,3 (installed 2019),100%,,,Not asset maintenance - Hydraulic capacity,N/A - Hydraulic capacity,"Stage 1c: Confirmed ""hydraulic issue""",,NZ4846025840,54.625381,-1.250949
